ticker,market_cap,price,volume,sector,industry
NVDA,4580888281088,188.15,262849364,Technology,Semiconductors
AAPL,3967007326208,268.47,45140079,Technology,Consumer Electronics
MSFT,3692554092544,496.82,23914021,Technology,Software - Infrastructure
GOOG,3371288494080,279.7,21808257,Communication Services,Internet Content & Information
GOOGL,3367765016576,278.83,34104158,Communication Services,Internet Content & Information
AMZN,2612795801600,244.41,46128349,Consumer Cyclical,Internet Retail
AMZN,2612795801600,244.41,46128349,Consumer Cyclical,Internet Retail
AVGO,1650135924736,349.43,21633332,Technology,Semiconductors
META,1567037325312,621.71,29732971,Communication Services,Internet Content & Information
TSM,1485938884608,286.5,15590788,Technology,Semiconductors
TSLA,1428505755648,429.52,101472744,Consumer Cyclical,Auto Manufacturers
JPM,855361978368,314.21,7290305,Financial Services,Banks - Diversified
LLY,827328495616,924.37,3807324,Healthcare,Drug Manufacturers - General
WMT,817934761984,102.59,17215827,Consumer Defensive,Discount Stores
ORCL,682080665600,239.26,18327992,Technology,Software - Infrastructure
V,649613803520,336.02,4177998,Financial Services,Credit Services
MA,495666724864,551.97,1891755,Financial Services,Credit Services
XOM,494316748800,117.22,12065625,Energy,Oil & Gas Integrated
NFLX,467656441856,1103.66,4347957,Communication Services,Entertainment
JNJ,449502216192,186.57,4807430,Healthcare,Drug Manufacturers - General
PLTR,424084799488,177.93,73113728,Technology,Software - Infrastructure
COST,408939134976,922.74,1997629,Consumer Defensive,Discount Stores
BABA,402018140160,166.34,9975010,Consumer Cyclical,Internet Retail
ASML,399308324864,1016.96,1798626,Technology,Semiconductor Equipment & Materials
BAC,388492787712,53.2,34117387,Financial Services,Banks - Diversified
ABBV,387340009472,219.16,4566957,Healthcare,Drug Manufacturers - General
AMD,380212838400,233.54,51603215,Technology,Semiconductors
AMD,380212838400,233.54,51603215,Technology,Semiconductors
HD,369397923840,371.11,2108393,Consumer Cyclical,Home Improvement Retail
PG,343453073408,146.98,6449813,Consumer Defensive,Household & Personal Products
GE,324112646144,307.27,3769344,Industrials,Aerospace & Defense
CVX,309885009920,155.02,6452750,Energy,Oil & Gas Integrated
KO,303478538240,70.55,21454846,Consumer Defensive,Beverages - Non-Alcoholic
SAP,302560772096,251.96,1127925,Technology,Software - Application
UNH,293681922048,324.21,9354677,Healthcare,Healthcare Plans
IBM,292029956096,306.38,4152564,Technology,Information Technology Services
CSCO,280067309568,71.07,15085751,Technology,Communication Equipment
WFC,270086832128,86.04,12457196,Financial Services,Banks - Diversified
TM,264272232448,201.98,297932,Consumer Cyclical,Auto Manufacturers
CAT,263800471552,563.1,1891150,Industrials,Farm & Heavy Construction Machinery
AZN,262243778560,84.58,4105758,Healthcare,Drug Manufacturers - General
MS,258040266752,162.36,5183907,Financial Services,Capital Markets
AXP,253869391872,368.54,2294494,Financial Services,Credit Services
HSBC,244683210752,71.27,1305952,Financial Services,Banks - Diversified
NVS,242439372800,126.35,1417686,Healthcare,Drug Manufacturers - General
PM,238772813824,153.39,5480813,Consumer Defensive,Tobacco
RTX,237276413952,176.97,2502779,Industrials,Aerospace & Defense
GS,235845795840,786.34,1834610,Financial Services,Capital Markets
TMUS,231530872832,207.0,6383492,Communication Services,Telecom Services
CRM,228365762560,239.88,4854252,Technology,Software - Application
ABT,219723857920,126.36,3498150,Healthcare,Medical Devices
SHEL,218078822400,75.59,3363971,Energy,Oil & Gas Integrated
TMO,215059038208,572.41,2263959,Healthcare,Diagnostics & Research
MRK,214148907008,86.28,7157786,Healthcare,Drug Manufacturers - General
MCD,213404188672,299.66,3243963,Consumer Cyclical,Restaurants
APP,209508450304,619.93,6632897,Communication Services,Advertising Agencies
APP,209508450304,619.93,6632897,Communication Services,Advertising Agencies
RY,205309902848,145.46,736266,Financial Services,Banks - Diversified
NVO,202103619584,45.68,18888396,Healthcare,Drug Manufacturers - General
LRCX,200148385792,159.35,11607862,Technology,Semiconductor Equipment & Materials
DIS,199103184896,110.74,7254510,Communication Services,Entertainment
SHOP,198630424576,152.41,10169357,Technology,Software - Application
ISRG,198517800960,560.0,2707585,Healthcare,Medical Instruments & Supplies
LIN,196356702208,420.51,2560171,Basic Materials,Specialty Chemicals
PEP,195461267456,142.95,7327350,Consumer Defensive,Beverages - Non-Alcoholic
PDD,192759595008,135.78,4133212,Consumer Cyclical,Internet Retail
UBER,191139610624,91.99,16476057,Technology,Software - Application
HDB,183546003456,35.81,3212332,Financial Services,Banks - Regional
AMAT,183283531776,230.07,6396938,Technology,Semiconductor Equipment & Materials
AMAT,183283531776,230.07,6396938,Technology,Semiconductor Equipment & Materials
QCOM,183023190016,170.89,10577113,Technology,Semiconductors
INTC,181880094720,38.13,94374941,Technology,Semiconductors
C,180343537664,100.79,12398512,Financial Services,Banks - Diversified
BX,179550453760,145.94,2961678,Financial Services,Asset Management
T,176031023104,24.83,55630223,Communication Services,Telecom Services
NEE,174793424896,83.93,9159676,Utilities,Utilities - Regulated Electric
AMGN,172421513216,320.2,2663584,Healthcare,Drug Manufacturers - General
AMGN,172421513216,320.2,2663584,Healthcare,Drug Manufacturers - General
MUFG,171982618624,15.08,3905562,Financial Services,Banks - Diversified
APH,170253877248,139.09,8743604,Technology,Electronic Components
APH,170253877248,139.09,8743604,Technology,Electronic Components
ANET,169562734592,134.65,10268540,Technology,Computer Hardware
ANET,169562734592,134.65,10268540,Technology,Computer Hardware
BLK,167904313344,1082.2,470013,Financial Services,Asset Management
SONY,165293408256,27.71,2968555,Technology,Consumer Electronics
ARM,161674969088,152.38,5656930,Technology,Semiconductors
TJX,160942080000,144.61,4570288,Consumer Cyclical,Apparel Retail
BKNG,159235047424,4940.0,271394,Consumer Cyclical,Travel Services
KLAC,156799664128,1193.37,1141990,Technology,Semiconductor Equipment & Materials
GEV,156044525568,575.13,2816882,Industrials,Specialty Industrial Machinery
SAN,152997855232,10.35,2738679,Financial Services,Banks - Diversified
ACN,152405327872,245.76,4045276,Technology,Information Technology Services
UL,150717497344,61.47,3868832,Consumer Defensive,Household & Personal Products
SPGI,150315974656,496.42,1704427,Financial Services,Financial Data & Stock Exchanges
DHR,148291026944,209.94,2536801,Healthcare,Diagnostics & Research
BSX,148273840128,100.02,5734182,Healthcare,Medical Devices
BA,147922190336,194.61,7821166,Industrials,Aerospace & Defense
GILD,147599278080,118.84,9039207,Healthcare,Drug Manufacturers - General
TXN,145879433216,160.55,6706380,Technology,Semiconductors
ETN,145172267008,373.77,2534807,Industrials,Specialty Industrial Machinery
BHP,140989218816,55.16,3815830,Basic Materials,Other Industrial Metals & Mining
PFE,138901848064,24.43,111910097,Healthcare,Drug Manufacturers - General
COF,138475503616,217.82,3945667,Financial Services,Credit Services
TD,138112811008,80.9,1198319,Financial Services,Banks - Diversified
ADBE,136861278208,326.95,4107532,Technology,Software - Application
SYK,136154292224,356.03,1100340,Healthcare,Medical Devices
TTE,135598522368,62.26,697416,Energy,Oil & Gas Integrated
CRWD,135468089344,539.81,2403238,Technology,Software - Infrastructure
UNP,131373268992,221.48,3037401,Industrials,Railroads
WELL,130573918208,190.25,3313401,Real Estate,REIT - Healthcare Facilities
PGR,127406530560,217.27,5254830,Financial Services,Insurance - Property & Casualty
SPOT,127283675136,616.91,1841671,Communication Services,Internet Content & Information
